,video_id,video_title,upload_date,view_count,like_count,comment_count
45,S0V3x__mTLk,What is YOUR RELATIONSHIP with MONEY? | Ankur Warikoo #Shorts,2022-03-20,82152,5803,102
46,458ScyLBMn0,BEST Strategy for Short Term Investing | FIXED 11% RATE OF RETURN! | Ankur Warikoo Hindi,2022-03-19,447524,14779,1245
47,lJkughEU3AQ,WHAT is an EMERGENCY FUND and WHERE to KEEP IT? | Ankur Warikoo #Shorts,2022-03-19,184852,12852,241
48,E6Fw-5LMGVo,3 Ways YOU can be SMART about MONEY! | Ankur Warikoo #shorts,2022-03-18,134357,11722,154
49,Eia-2dnmD7g,Parents - 11 HARSH TRUTHS. | Ankur Warikoo Hindi,2022-03-17,305816,13320,1373
50,nhw7PZbv1nA,THIS SMALL THING CAN CHANGE YOUR LIFE! | Ankur Warikoo #shorts,2022-03-17,106657,13369,140
51,b6Ll-VYhQX0,7 Ways to Get Salary Increment - GUARANTEED! | Ankur Warikoo Hindi,2022-03-15,200338,9127,744
52,fm5uj25yVvk,3 Ways I LOST MONEY in MY 20s! | Ankur Warikoo #Shorts,2022-03-15,211196,16953,144
53,cNoUEanBZfE,I wish SOMEONE TOLD THIS to me in my 20s! | Ankur Warikoo #Shorts,2022-03-14,453757,27244,201
54,LILp_Lr7ENc,Get STARTED with Stock Market Investing! | Ankur Warikoo #Shorts,2022-03-13,80259,6752,76
55,zL3CniOFMvU,7 ASSETS that WILL make you RICH! | Personal Finance for Beginners | Ankur Warikoo Hindi,2022-03-12,402670,19913,1793
56,4TBT2_3GN2M,Golden Rule of MANAGING YOUR MONEY! | Ankur Warikoo #Shorts,2022-03-12,67330,6158,83
57,5be1I8g_XtM,The BIGGEST GOLDEN RULE of INVESTING! | Ankur Warikoo #Shorts,2022-03-11,143992,8963,81
58,zaFAsFP-u2U,Rich Dad Poor Dad Book Review | Books on Money! | Ankur Warikoo Hindi,2022-03-10,295033,16053,1581
59,iXI7GBhgUQY,3 reasons you should NOT BUY A HOUSE! | Ankur Warikoo #Shorts,2022-03-10,248244,14067,239
60,ZcBLzLZClcs,The BIGGEST MONEY LESSON in LIFE! | Ankur Warikoo #Shorts,2022-03-09,139617,9385,76
61,3XBssbaxqMU,A CA to 3.5M subscribers on YouTube: @CA Rachana Phadke Ranade&#39;s #CreatingForIndia journey,2022-03-08,211175,8629,805
62,Ui9OLJSOet8,3 ways YOU ARE READING BOOKS WRONG! | Ankur Warikoo,2022-03-08,409141,28980,356
63,u3V6NRal0Tg,2 types of people in this world! | Ankur Warikoo #Shorts,2022-03-07,131962,8976,114
64,uZYLytAQSVc,3 Books you CAN&#39;T MISS in YOUR 20s! | Ankur Warikoo #Shorts,2022-03-06,84704,9164,117
65,4BXPxuwAp-Q,Retire with 4 CRORES! | Financial Planning for Beginners | Ankur Warikoo Hindi,2022-03-05,279563,12800,1175
66,-nGG2NECuVI,3 TRUTHS about Investing that NO ONE TALKS ABOUT! | Ankur Warikoo #Shorts,2022-03-04,208187,14158,205
67,u71ErGPxBrs,Hard hitting responses to your questions | Ankur Warikoo Hindi,2022-03-03,94579,4706,457
68,LNQfgVNORDw,3 FAST TRACK ways to GROW KNOWLEDGE! | Ankur Warikoo #Shorts,2022-03-03,143503,13487,100
69,vSm651rJBes,1 IMPORTANT LIFE CHOICE YOU MUST MAKE! | Ankur Warikoo #Shorts,2022-03-02,111520,10255,117
70,AbMYbLw5qwc,Earn MONEY in the Stock Market in 2022 | Investing Tips for Beginners | Ankur Warikoo Hindi,2022-03-01,281906,12456,1674
71,yBi6JvtQzio,NUMBER 1 LIFE SKILL EVER! | Ankur Warikoo #Shorts,2022-03-01,119492,12425,99
72,39I_5iNyKUo,DON&#39;T FOLLOW THESE 3 TYPES OF PEOPLE! | Ankur Warikoo #Shorts,2022-02-28,68874,5615,190
73,2vjVhzbkqvA,Rs. 500 to Rs. 3.5 CRORES! | Ankur Warikoo #Shorts,2022-02-27,750711,43807,1145
74,AAt6CbPjqVs,Earn 7 Crores in 1 year! | Online courses | Ankur Warikoo Hindi,2022-02-26,136294,5795,667
75,TDIEUWWysMA,3 THINGS - Are you STILL DOING THESE in your 20s?! | Ankur Warikoo #Shorts,2022-02-26,83781,8167,62
76,mjgxnF-om0Q,Success Vs. Failure - THE REAL TRUTH! | Ankur Warikoo #Shorts,2022-02-25,88672,9484,167
77,LIItg5G7PzQ,How I SPEND MY MONEY? |  Personal Finance | Ankur Warikoo Hindi,2022-02-24,160409,8767,1214
78,dQWjuW1Nfn4,Are YOU in a HEALTHY RELATIONSHIP? - 3 SIGNS! | Ankur Warikoo #Shorts,2022-02-24,83134,7244,86
79,oeGUE_kC31k,ZINDA HO TUM - Ankur Warikoo Spin! | #Shorts,2022-02-23,84525,10272,243
80,ELRsATM7yOw,REACTING TO HATE and MEAN COMMENTS ON THE INTERNET! | Ankur Warikoo,2022-02-22,152572,9966,1498
81,A1epsOLpGIU,2022 - 3 EXTREMEMLY POWERFUL HABITS! | Ankur Warikoo #Shorts,2022-02-22,197613,21295,166
82,tHgBJ4t8xJ0,2022 - 3 Life Skills YOU CAN&#39;T SURVIVE WITHOUT! | Ankur Warikoo #Shorts,2022-02-21,302080,31318,223
83,5vbKtjqL0nU,Are you STUCK IN LIFE?! | Ankur Warikoo #Shorts,2022-02-20,118851,11089,86
84,ZLoeS3npdi0,Investing vs Loan Repayment EXPLAINED with Excel Sheet! | Ankur Warikoo Hindi,2022-02-19,364001,10713,1175
85,KKv-q9HEwX0,Are you not enjoying college? | Ankur Warikoo #Shorts,2022-02-19,121342,9250,126
86,g5jJK6celws,Are you REALLY FREE from THESE 3 Things? | Ankur Warikoo #shorts,2022-02-18,75321,5937,93
87,xkm6dhRkMQ8,LIFE CHANGING Habits you NEED to WATCH! | Ankur Warikoo Hindi,2022-02-17,442378,30946,2048
88,eS6oHHg-BjA,3 Productivity hacks NO ONE told you about | Ankur Warikoo #Shorts,2022-02-17,116965,11804,72
89,hB_Bs3rbn5E,3 MISTAKES To Avoid in your 20s | Ankur Warikoo #Shorts,2022-02-16,104223,9859,87
90,U8vaPjDuATI,Are you WASTING your HARD EARNED MONEY? | Personal Finance 101 | Ankur Warikoo Hindi,2022-02-15,581582,23839,2875
91,E73Jk982qHY,3 SMALL Things that make ME HAPPY! | Ankur Warikoo #Shorts,2022-02-15,66913,7469,99
92,P_IZJkpouw8,MY FAVOURITE QUOTE of All Time! | Ankur Warikoo #Shorts,2022-02-14,91283,10231,197
