,video_id,video_title,upload_date,view_count,like_count,comment_count
56,MHuDl4R14c4,Why PETROL/Diesel prices are high in India?,2022-04-09,188150,14737,4493
57,-dNfBZmPly0,5 MUST KNOW finance rules for everyone | How to become financially free?,2022-04-08,298063,10881,750
58,rd8l7hDs7vc,"MONEY MAKES MONEY | And the money that money makes, makes money",2022-04-07,168527,5827,787
59,dYDIv3Ghhyw,How to live a great life on a Low Salary! [5 practical strategies],2022-04-06,276934,13085,2740
60,a3wkypbkJgA,The best Fixed Deposit option with 0 taxes!,2022-04-05,165332,5976,1211
61,YBDmDCruHmA,"HDFC, the growth story: Buy or Sell now? #HDFC #HDFCBank",2022-04-04,227785,8287,1106
62,MmyVo9VvHSQ,Middle Class getting CRUSHED in India #shorts,2022-04-04,199343,8432,265
63,JxZRqJj5WSo,How politicians rob citizens? [Sri Lanka economic crisis],2022-04-03,208358,8860,1907
64,ctfJapIt0aY,How Rs.100 today becomes Rs.96 next year! #shorts,2022-04-03,50550,2087,36
65,PU44P0CpNOE,Earn MORE by working LESS | Simple Strategies,2022-04-02,137211,5896,668
66,aYzxX-T1CUs,Russia buying more GOLD! How will it impact the Indian and the US stock markets?,2022-04-01,149631,7506,1108
67,96KM562jyKI,Make 15% returns from Stock Markets easily!,2022-03-31,352982,18862,2322
68,rHGw4qSlXwk,Why does the salaried class suffer in India?,2022-03-30,236446,10327,1452
69,sdrZoDy-o-Q,How to invest your salary for good returns?,2022-03-28,356939,13993,1313
70,xCazdIy558Q,How to build a side income? | 5 easy options,2022-03-27,477768,16539,975
71,2WNJO0ybd4g,Where to invest in the SHORT-TERM? [1-3 years period],2022-03-26,112344,4517,832
72,dpNfQ84JTIU,Buy stocks like a PRO! #shorts,2022-03-26,90765,4205,44
73,WfSE9t1PRtM,How to invest in PSU Stocks? | Fundamental Analysis of PSU stocks,2022-03-25,106918,4875,582
74,svNeEAOA-Vk,1-minute FREE startup course by JEFF BEZOS! #shorts #jeffbezos,2022-03-25,73268,3424,22
75,IEeJGw4yCN8,The SIMPLEST SWING TRADE EVER [with almost guaranteed returns] | How to SWING TRADE?,2022-03-24,206146,9062,935
76,20Svqr0APdo,Making your FIRST 1Cr is Difficult!  Here is why.... #shorts,2022-03-24,175579,9975,146
77,eI8hZWbGCoU,"Buy Zomato now? 10-min delivery model, decoded!",2022-03-23,116898,4572,777
78,FTY98SiFTEI,How India is getting BANKRUPT? #shorts,2022-03-23,200373,7285,717
79,m81ihLG1ZWg,How to make dividend income | 5 great assets to own,2022-03-22,727493,22018,2397
80,0W1JI_WogFI,How to EARN More | 7 Life Changing habits!,2022-03-21,371923,18723,1655
81,NQqlA4Y7brY,How to make money on YouTube? #shorts,2022-03-21,34700,1350,19
82,HuvpsT--KVE,Maruti Stock about to Skyrocket? | TATA vs Maruti,2022-03-20,160010,5815,601
83,u70OpBPtlZo,This MONOPOLY Tech stock could easily double! | Fundamental Analysis of stocks,2022-03-19,179486,5313,665
84,SsTYLs60VYk,My portfolio revealed! | How to build a PERSONALISED portfolio,2022-03-18,267193,9687,1776
85,CSU28yiq2kE,How to BUY undervalued stocks? [simple strategies] #STOCK MARKET INVESTING FOR BEGINNERS,2022-03-17,173009,8526,712
86,IGLkUuY2SJ0,"PayTm, Nykaa, Zomato in NIFTY Next 50! Buy now? #shorts",2022-03-17,90293,2862,69
87,HaYupvyjJxI,Cryptos will SKYROCKET! [Ultimate Crypto investing guide 2022] | How to invest in Cryptos from India,2022-03-16,249101,9340,4174
88,LYNKvboBRqQ,Maruti: No EV BUSINESS? #shorts,2022-03-16,190653,5779,103
89,MRYw1hwWa4s,STOCK MARKETS will fall due to weak rupee? (and how to save wealth!),2022-03-15,185815,11476,830
90,Y5PDep8SmSA,Paytm Crash | Which stocks to sell?,2022-03-14,153436,6045,649
91,CecGfzZs4cE,How to build a GREAT PORTFOLIO with 1Lakh rupees | Financial Wisdom  Stock Market Portfolio,2022-03-13,232361,10314,1375
92,kg2P_Rpns3Y,Good vs Bad Monopoly stocks!,2022-03-12,216120,10073,1064
93,sEvl-Td67Nw,Invest in Fixed Deposits #shorts,2022-03-12,82796,1974,74
94,Q8zPmD2sU9U,Several Stocks will CRASH,2022-03-11,161274,6689,679
95,_heZ4WBec2I,Job market crash 2022 #shorts,2022-03-11,89108,2708,50
96,D7BUvtIWi2s,Very SLOW growth ahead? | Stagflation concerns,2022-03-10,237562,16962,1050
97,SCKbgchHrNE,How to choose your career? #shorts,2022-03-10,54517,2760,49
98,Nuqf65RMzz4,Right time to invest in this revolutionary tech?,2022-03-09,247275,8462,825
99,bG7Pgp2GXPQ,Why INDIANS are paid LOW SALARIES? #shorts,2022-03-09,485648,19475,493
100,fZL5MFtRzJ0,Buy/Sell these stocks?,2022-03-08,171029,8850,1052
101,YhFOhoFL9sY,"Pay HIGH tax, but what do you get in return? #shorts",2022-03-08,145944,5673,385
102,lmbaOrsoPGM,LIVE DISCUSSION: Stock Market FALL! | What should you do now?,2022-03-07,164798,5752,879
103,OqXx3ldF5uY,RICHEST politician in the world #shorts,2022-03-07,85105,2814,73
104,21Pm9MB6kOk,How to invest in the stock markets [Ultimate Guide 2022],2022-03-06,110659,4709,1027
105,ezzsId2DaUs,"Buy Low, Sell High (EASIEST STRATEGY TO MAKE MONEY!) #shorts",2022-03-06,66735,2252,80
106,b6SMhDtGCsQ,Buy more or exit the market?,2022-03-05,326801,19884,1950
107,98RQJrTfO4s,Why is India SUPER EXPENSIVE for the MIDDLE CLASS? #shorts,2022-03-05,140562,6070,122
108,hqbMGuqtBuI,Buy or Rent a house in 2022?,2022-03-04,140145,5819,821
109,pgEI24DQ9gs,THIS will increase your salary 100%....,2022-03-04,180766,6594,111
110,HpkOye6CBp0,"Bluechips [HUL, HDFC] fall massively! | Time to buy?",2022-03-03,255033,9234,774
111,MwJPvB-UAos,"To retire with 1L/month, you need a corpus of.... #shorts",2022-03-03,166423,5736,103
112,bd8ry8pGO1w,NO 30% tax on buying Bitcoins | Easy Strategy,2022-03-02,120775,4893,548
113,Rxu-WSCVEi0,"Banks Fall, Buy More? | HDFC Falls! #shorts",2022-03-02,134897,3951,110
114,ViPPMraSTeo,When will the markets recover (or crash)? | Russia Ukraine Crisis,2022-03-01,159329,7429,598
115,EslOHUxESt0,"Become DEBT FREE [0 Debt, 0 Tension] #shorts",2022-03-01,61256,2485,20
116,bS15md6jqi4,3 Trends that can 5X your returns! [Trend Based Investing Strategy],2022-02-28,113120,4754,503
117,ICZUilA3eU8,"Rent, not buy a house [LOGIC] #shorts",2022-02-28,426578,14714,222
118,B348n650iLM,A GREAT stock? Fundamental Analysis,2022-02-27,163396,6209,661
119,PMC_611pVGw,Are Cryptos fundamentally bad? #shorts,2022-02-27,175270,6036,204
120,cM8l4RKG-uw,5 strategies to buy every dip!,2022-02-26,211764,8254,610
121,wggDXnby1UU,Buy or Sell?,2022-02-25,141894,6625,864
122,Rt21-qOqNKg,Russia-Ukraine Crisis: Which stocks did I buy today?,2022-02-24,284331,11309,1225
123,dE2cjK8chQ8,Great time to buy!,2022-02-23,243162,9891,749
124,qj7Kv1fiX9Q,Buy or Sell Now?,2022-02-22,194374,10113,1113
125,pUOujJlSTOU,10X Returns now?,2022-02-21,83630,3727,694
126,S4yV6rcXFmE,40 Lakh job WITHOUT COLLEGE? #shorts,2022-02-21,49945,1869,61
127,8VC5Z_WVkAc,5 AMAZING strategies for making money | Grow your wealth!,2022-02-20,78131,4640,712
128,cOap-VC-wRQ,Financial Independence in 1 minute,2022-02-20,257366,11979,86
129,p_haMc1Ld1o,Buy or Sell stocks?,2022-02-19,202537,9441,1342
